recordid,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,customer_id
188,OH,163,415,false,false,0,241.6,102,41.07,138.9,100,11.81,148.8,129,6.7,9.8,6,2.65,1,false,63579239
189,LA,140,415,false,true,27,176,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3,false,59609685
190,OH,176,415,false,true,31,167,93,28.39,174.1,128,14.8,155,124,6.98,10.4,4,2.81,3,false,32452518
191,UT,102,510,false,true,45,129.2,142,21.96,239.4,114,20.35,223.4,66,10.05,8.7,4,2.35,0,false,32847790
192,VA,71,415,false,true,49,174,122,29.58,168.6,85,14.33,132.1,120,5.94,7.8,4,2.11,1,false,53093670
193,TX,104,415,false,false,0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2,true,5611272
194,TN,96,415,false,false,0,264.6,117,44.98,264.1,121,22.45,77.1,89,3.47,8.1,4,2.19,0,false,38397964
195,PA,90,408,false,false,0,160.9,97,27.35,136.4,46,11.59,209,121,9.4,9.1,4,2.46,2,false,29389228
196,CT,106,510,false,true,36,124.8,93,21.22,241.7,83,20.54,219,110,9.86,11.3,3,3.05,1,false,29421252
197,DE,148,510,false,false,0,230.6,92,39.2,185.6,97,15.78,183.2,79,8.24,6.2,4,1.67,2,false,57047615
198,IN,66,408,false,false,0,241.7,112,41.09,251.6,78,21.39,105,82,4.72,11.3,2,3.05,2,false,306030362
199,UT,95,408,false,true,35,229.1,143,38.95,148.2,104,12.6,248.4,110,11.18,3.9,3,1.05,0,false,29050671
200,OK,127,408,false,false,0,212.9,92,36.19,260.1,124,22.11,177.6,85,7.99,8.6,2,2.32,2,false,57965881
201,NH,79,408,false,true,30,124.8,99,21.22,207.6,142,17.65,175,95,7.88,4.6,3,1.24,1,false,25002478
202,MO,83,510,false,false,0,133.9,82,22.76,169.6,105,14.42,222.8,114,10.03,11.7,4,3.16,0,false,302063292
203,NV,83,510,false,true,31,129.8,87,22.07,183.4,110,15.59,169.4,40,7.62,14.3,6,3.86,1,false,58288234
204,SC,136,415,false,false,0,88.5,112,15.05,279.5,98,23.76,278,69,12.51,7.5,12,2.03,1,false,23788953
205,HI,17,408,false,false,0,168.5,102,28.65,297.2,130,25.26,244.7,117,11.01,8.8,6,2.38,3,false,24431850
206,DC,165,415,true,false,0,81.4,110,13.84,263.7,150,22.41,219.7,107,9.89,12.2,3,3.29,1,false,1717172
207,OK,149,510,false,false,0,117.2,99,19.92,227.7,74,19.35,221.7,141,9.98,9,7,2.43,1,false,24940686
208,ME,79,510,true,false,0,300.4,113,51.07,210.8,93,17.92,173.4,121,7.8,11.9,3,3.21,2,true,16793861
209,AZ,94,415,false,false,0,195.1,105,33.17,272.4,100,23.15,142.7,102,6.42,11.5,16,3.11,1,false,22624019
210,MN,93,415,false,false,0,172,80,29.24,219.1,76,18.62,169.8,108,7.64,10.3,3,2.78,0,false,3156221
211,WY,109,415,true,true,46,165.2,85,28.08,136,92,11.56,184.8,100,8.32,11.9,5,3.21,1,false,9614488
212,WA,106,415,false,false,0,149.7,114,25.45,104.5,72,8.88,227.9,87,10.26,9,2,2.43,2,false,25575051
213,AL,92,408,false,false,0,185.8,61,31.59,118.1,131,10.04,257.5,70,11.59,11.8,4,3.19,1,false,32273914
214,WA,93,415,false,false,0,214.4,112,36.45,261.5,97,22.23,280.8,112,12.64,14.8,3,4,0,true,45447547
215,NM,124,408,false,false,0,244.6,91,41.58,125.1,70,10.63,303.4,104,13.65,12,5,3.24,0,false,32996639
216,MA,117,408,false,false,0,302.6,83,51.44,167.1,106,14.2,209.8,79,9.44,10.4,7,2.81,1,true,7323892
217,ME,163,415,false,true,30,195.2,123,33.18,126.4,115,10.74,221,90,9.95,9,5,2.43,5,true,22351324
218,SD,87,510,true,false,0,207.8,113,35.33,182.2,129,15.49,163.4,98,7.35,13,3,3.51,1,false,54565064
219,LA,59,415,false,false,0,119,119,20.23,134.5,115,11.43,298.6,75,13.44,9,6,2.43,2,true,57974156
220,HI,103,415,false,false,0,245.8,116,41.79,135.4,97,11.51,190.9,73,8.59,9.9,7,2.67,1,false,14737530
